15 3240  -0.0172 1e-05 0  0.05280000000000001 0 0   -0.004012358265112148 0.06114815050484967 0  
15 3248  -0.01688000000000001 1e-05 0  0.05312 0 0   -0.002364079331747426 0.05462501295885058 0  
15 3248  -0.01656000000000001 1e-05 0  0.05344 0 0   -0.002364079331747426 0.05462501295885058 0  
15 3248  -0.01624 1e-05 0  0.05376 0 0   -0.002364079331747426 0.05462501295885058 0  
15 3248  -0.01592 1e-05 0  0.05408 0 0   -0.002364079331747426 0.05462501295885058 0  
15 3248  -0.0156 1e-05 0  0.0544 0 0   -0.002364079331747426 0.05462501295885058 0  
15 3248  -0.01528 1e-05 0  0.05472 0 0   -0.002364079331747426 0.05462501295885058 0  
15 3248  -0.01496000000000001 1e-05 0  0.05504 0 0   -0.002364079331747426 0.05462501295885058 0  
15 3248  -0.01464000000000001 1e-05 0  0.05536 0 0   -0.002364079331747426 0.05462501295885058 0  
15 3248  -0.01432000000000001 1e-05 0  0.05568 0 0   -0.002364079331747426 0.05462501295885058 0  
15 3248  -0.01400000000000001 1e-05 0  0.05599999999999999 0 0   -0.002364079331747426 0.05462501295885058 0  
15 3248  -0.01368000000000001 1e-05 0  0.05632 0 0   -0.002364079331747426 0.05462501295885058 0  
15 3248  -0.01336000000000001 1e-05 0  0.05664 0 0   -0.002364079331747426 0.05462501295885058 0  
15 3248  -0.01304000000000001 1e-05 0  0.05696 0 0   -0.002364079331747426 0.05462501295885058 0  
15 3248  -0.01272000000000001 1e-05 0  0.05728 0 0   -0.002364079331747426 0.05462501295885058 0  
15 3248  -0.01240000000000001 1e-05 0  0.0576 0 0   -0.002364079331747426 0.05462501295885058 0  
15 3248  -0.01208000000000001 1e-05 0  0.05792 0 0   -0.002364079331747426 0.05462501295885058 0  
15 3248  -0.01176000000000001 1e-05 0  0.05824 0 0   -0.002364079331747426 0.05462501295885058 0  
15 3151  -0.01144000000000001 1e-05 0  0.05856 0 0   -0.003054308719882659 0.05522014615047954 0  
15 3281  -0.01112 1e-05 0  0.05888 0 0   -0.001882182805926114 0.05104181735225666 0  
15 3281  -0.0108 1e-05 0  0.0592 0 0   -0.001882182805926114 0.05104181735225666 0  
15 3281  -0.01048 1e-05 0  0.05952 0 0   -0.001882182805926114 0.05104181735225666 0  
15 3281  -0.01016 1e-05 0  0.05984 0 0   -0.001882182805926114 0.05104181735225666 0  
15 3281  -0.009840000000000008 1e-05 0  0.06016 0 0   -0.001882182805926114 0.05104181735225666 0  
15 3281  -0.009520000000000008 1e-05 0  0.06048 0 0   -0.001882182805926114 0.05104181735225666 0  
15 3281  -0.009200000000000007 1e-05 0  0.0608 0 0   -0.001882182805926114 0.05104181735225666 0  
15 3281  -0.008880000000000006 1e-05 0  0.06112 0 0   -0.001882182805926114 0.05104181735225666 0  
15 3281  -0.008560000000000005 1e-05 0  0.06144 0 0   -0.001882182805926114 0.05104181735225666 0  
15 3281  -0.008240000000000004 1e-05 0  0.06176 0 0   -0.001882182805926114 0.05104181735225666 0  
15 3281  -0.007920000000000003 1e-05 0  0.06208 0 0   -0.001882182805926114 0.05104181735225666 0  
15 3281  -0.007600000000000003 1e-05 0  0.0624 0 0   -0.001882182805926114 0.05104181735225666 0  
15 3281  -0.007280000000000009 1e-05 0  0.06272 0 0   -0.001882182805926114 0.05104181735225666 0  
15 3281  -0.006960000000000008 1e-05 0  0.06304 0 0   -0.001882182805926114 0.05104181735225666 0  
15 3281  -0.006640000000000007 1e-05 0  0.06336 0 0   -0.001882182805926114 0.05104181735225666 0  
15 3281  -0.006320000000000006 1e-05 0  0.06368 0 0   -0.001882182805926114 0.05104181735225666 0  
15 3281  -0.006000000000000005 1e-05 0  0.064 0 0   -0.001882182805926114 0.05104181735225666 0  
15 3280  -0.005680000000000004 1e-05 0  0.06432 0 0   -0.0006815757633775732 0.04874364836605771 0  
15 3280  -0.005360000000000004 1e-05 0  0.06464 0 0   -0.0006815757633775732 0.04874364836605771 0  
15 3280  -0.005040000000000003 1e-05 0  0.06496 0 0   -0.0006815757633775732 0.04874364836605771 0  
15 3280  -0.004720000000000016 1e-05 0  0.06527999999999999 0 0   -0.0006815757633775732 0.04874364836605771 0  
15 3280  -0.004400000000000015 1e-05 0  0.06559999999999999 0 0   -0.0006815757633775732 0.04874364836605771 0  
15 3280  -0.004080000000000014 1e-05 0  0.06591999999999999 0 0   -0.0006815757633775732 0.04874364836605771 0  
15 3280  -0.003760000000000013 1e-05 0  0.06623999999999999 0 0   -0.0006815757633775732 0.04874364836605771 0  
15 3280  -0.003440000000000012 1e-05 0  0.06655999999999999 0 0   -0.0006815757633775732 0.04874364836605771 0  
15 3280  -0.003120000000000012 1e-05 0  0.06688 0 0   -0.0006815757633775732 0.04874364836605771 0  
15 3280  -0.002800000000000011 1e-05 0  0.0672 0 0   -0.0006815757633775732 0.04874364836605771 0  
15 3280  -0.00248000000000001 1e-05 0  0.06752 0 0   -0.0006815757633775732 0.04874364836605771 0  
